"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#TourTVE si contador tuviera mejor equipo y no hubiera tenido las 2 caídas en la misma etapa, estaría luchando por el tour",FALSE,2,NA,2017-07-21 12:09:58,FALSE,NA,"888370463742840832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Adrianrebollo96",0,FALSE,FALSE,NA,NA
"RT @ciclismortve: En directo etapa 19 del #Tour: Embrun - Salon de Provence en @teledeporte y @rtvees https://t.co/ZhzOocgaYO … #TourTVE #T…",FALSE,0,NA,2017-07-21 12:08:29,FALSE,NA,"888370089136975872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ru28992",2,TRUE,FALSE,NA,NA
"La mayoría no iba tan desencaminada <ed><U+00A0><U+00BD><ed><U+00B8><U+008B> #TDF2017 #TourTVE  #ciclismo https://t.co/5aHUqVfOdY",FALSE,2,NA,2017-07-21 12:07:51,FALSE,NA,"888369932693635072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ddcampista",0,FALSE,FALSE,NA,NA
"#TourTVE de viaje, en casa, siempre el tour https://t.co/SzpWy3j3js",FALSE,0,NA,2017-07-21 12:06:18,FALSE,NA,"888369542044540929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","josemdomenech2",0,FALSE,FALSE,NA,NA
"#TourTVE @pedrodelgadoweb, Carlos de Andrés, buenas tardes. Pq los ciclistas no cobran la millonada como los futbolistas?",FALSE,0,NA,2017-07-21 12:03:00,FALSE,NA,"888368711266164736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marisabatista70",0,FALSE,FALSE,NA,NA
"#TourTVE Perico y Carlos no que  Froome lleva 2 Tours que si hubiera tenido un rival en plenitud (Quintana, Alberto) los hubiera perdido?",FALSE,0,NA,2017-07-21 12:02:29,FALSE,NA,"888368580705779714",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","eduvima",0,FALSE,FALSE,NA,NA
"Sólo un dato, sin la contrareloj, Froome no sería líder ahora mismo #TourTVE",FALSE,0,NA,2017-07-21 12:00:09,FALSE,NA,"888367992815464449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aresfabrega",0,FALSE,FALSE,NA,NA
"RT @ciclismortve: En directo etapa 19 del #Tour: Embrun - Salon de Provence en @teledeporte y @rtvees https://t.co/ZhzOocgaYO … #TourTVE #T…",FALSE,0,NA,2017-07-21 12:00:02,FALSE,NA,"888367964403224577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JesusCorral19",2,TRUE,FALSE,NA,NA
"En directo etapa 19 del #Tour: Embrun - Salon de Provence en @teledeporte y @rtvees https://t.co/ZhzOocgaYO …… https://t.co/n2vEEbL3CB",FALSE,9,NA,2017-07-21 11:58:12,TRUE,NA,"888367501226246147",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ciclismortve",2,FALSE,FALSE,NA,NA
"CHISTECILLOS - EL TOUR DE FRANCIA

#chistes #chistesmalos #chiste #humor #risas #youtube #TourTVE #tourdefrancia 

https://t.co/gI6mjXFsJL",FALSE,0,NA,2017-07-21 11:56:43,FALSE,NA,"888367129355055104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TorrasLive",0,FALSE,FALSE,NA,NA
"RT @ElGregarioHC: Nuestro resumen de lo que han hecho hasta la fecha los favoritos en este #TDF2017 #TourTVE https://t.co/Nxrmf4KahW",FALSE,0,NA,2017-07-21 11:48:26,FALSE,NA,"888365047415754752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adrianpicallo",2,TRUE,FALSE,NA,NA
"#TDF2017 Thomas De Gent nació en una escapada. Vaya palizones se da. Ojalá hoy llegue la fuga y pueda ganar. Se lo merece. #TourTVE",FALSE,1,NA,2017-07-21 11:47:37,FALSE,NA,"888364840754040834",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","J_Coll14",0,FALSE,FALSE,NA,NA
"@LeTour New stage, who'll won?
@apeudeport @CiclismoSphera @petosagan @DimensionData 
#tourdefrance2017 #TourTVE",FALSE,0,"LeTour",2017-07-21 11:43:15,FALSE,"888281135175696388","888363740403556352","153403071","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jordifv2_0",0,FALSE,FALSE,NA,NA
"ÚLTIMA OPORTUNIDAD <U+27A1><U+FE0F> SORTEO | Gana un maillot del #tourdefrancia ¿Cómo? En sólo 3 pasos! Ver imagen <U+2B07><U+FE0F> #TDF2017… https://t.co/T9sPIQvEcv",FALSE,2,NA,2017-07-21 11:40:52,TRUE,NA,"888363142534844417",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TransSport_es",1,FALSE,FALSE,NA,NA
"De Gendt SIEMPRE en fuga
#TourTVE https://t.co/dQaAVPHLQe",FALSE,0,NA,2017-07-21 11:30:46,FALSE,NA,"888360599398363136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ibero_",0,FALSE,FALSE,NA,NA
"Una ves más @BaukeMollema dejándose ver en la fuga #TourTVE #TDF2017 #TourDeTFS",FALSE,2,NA,2017-07-21 11:27:41,FALSE,NA,"888359821388517377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CiclismoaTope12",0,FALSE,FALSE,NA,NA
"RT @retrochenta: Comentaristas de lujo hoy en el #TourTVE https://t.co/LZH2w2QR7Y",FALSE,0,NA,2017-07-21 11:14:31,FALSE,NA,"888356511436742656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Raulmges",11,TRUE,FALSE,NA,NA
"RT @sergibr: A Urán no le da el aire y Bardet hace ataques de peseta y el 4º es un tío fatigado del Giro. En el peor año de Froome #TourTVE…",FALSE,0,NA,2017-07-21 11:08:07,FALSE,NA,"888354899465052162",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",1,TRUE,FALSE,NA,NA
"RT @fns_k: @ciclismortve @pedrodelgadoweb Este #TourTVE ha sido un coñazo, solo los actores secundarios han atacado y se han movido. Los pr…",FALSE,0,NA,2017-07-21 11:07:54,FALSE,NA,"888354843676598272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",1,TRUE,FALSE,NA,NA
"RT @ciclismortve: En directo etapa 18 del #Tour Briançon - Izoard en @teledeporte y @rtvees https://t.co/ZhzOocgaYO #TourTVE #TDF2017 Hoy c…",FALSE,0,NA,2017-07-21 11:07:26,FALSE,NA,"888354726902943745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leinad_gr",20,TRUE,FALSE,NA,NA
"RT @fns_k: @ciclismortve @pedrodelgadoweb Los que están arriba en la clasificación de #TourTVE es por no haber fallado. Ninguno de ellos ha…",FALSE,0,NA,2017-07-21 11:07:21,FALSE,NA,"888354705537212416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",1,TRUE,FALSE,NA,NA
